verified_reviews,sentiment
Great view of the strip and the Bellagio fountains.,Neutral
The service was okay but geez the place smells like pee.,Negative
"Well, it isn't really a bistro, but more of a burger and salad joint right off the lobby. Delicious Chinese chicken salad, forgettable chicken burger, forgettable tuna burger.",Neutral
"The food is average, nothing special but the service is worse. I'm not going back. Unfriendly wait staff.",Negative
i would have loved to give more stars but i am not completely convinced. the oysters are tasty but small. i love the fried green tomatoes. my husband usually gets the fish and says its okay.,Neutral
Awesome food.Great Service. This place you pay to play in this sandbox. Worth every penny!,Positive
"The screen response time is way better than I expected. Sound quality is good too, also it’s not so bright that I have to turn off the screen but it is an option.  I have a Dot in another room and which ever hears me better is the one that responds.",Positive
The speakers sound pretty good for being so small and setup is pretty easy.  I bought two and the reason I only rate it a 3 is I have followed the instructions for synching music to both units.  I know I've done it correctly but they won't sync.  That was my primary motivation for purchasing multiple units.,Neutral
"I have had pure fun with my echo.  Weather, jokes, news briefing, and music but still so much more to use it for.  A lot of fun for the money.",Positive
"The tacos are good.. the vampiro is the best one but this place is a mad house! There are different lines for different meats and when its busy this place is smoked up, cramped, and hot. I don't think it's worth the insanity at all",Neutral
as expected,Positive
"Pro: bar in Mandalay, clean bar, atmosphere, TV everything.\n\nCon: low selection on tap while forcing you to buy overpriced bottles.\n\nOrdered Jack and Coke and Jameson on Rock, run down 16 dollars. All ice, low booze. Good place, but yea.",Neutral
Get the ribeye for 2!!,Positive
"Pretty good store..............it usually has what I need. However, the store is ALWAYS understaffed.",Neutral
Ok...so I am updating this due to the owner contacting me. He has been diligent on replying and getting things sorted out and making my situation fair. Stay tuned as to how everything turns out...at least he is trying...,Negative
"Red tavern burger and bottomless fries with a side of ranch, tavern sauce and $3 drafts please! only thing I would recommend is cleaner bathroom I've been there during the week and on the weekends too and every time the bathroom is horrendous!",Neutral
Love it!! Super fun! Easy to use! My three year old even gets involved,Positive
"Okay selection of toddler wear and somewhat slim on newborn clothes.  Prices are average, store lay out is good and easy to read large signs.",Neutral
"Trying to eat healthier, yet not starve, and \""the Man Salad\"" was pretty good!",Neutral
"I think they really shine with fall & winter menus and have enjoyed some good meals at the original Table 274. We went to this location a week or two ago and everything we got was only \""ok.\"" Glad we had a groupon.",Neutral
"came here on the last day of vegas... just to get their steak & eggs... i thought it was pretty good .. portions were small though, i believe... i forget, but not bad :)",Neutral
"This is my first digital assistant so I'm giving this a good review. Speaker is really good for the cheap price on Prime day. Fun to play with and can be used as an alarm clock (That's what I was going to get in the first place, but I ended up with Echo). If you haven't had a go with one then definitely try it!What I like best is the number of other devices that it can connect with. My purchase came with a Smart Plug for $10 which I connect my lamp to. Alexa, turn of the lights!",Positive
"I'm loving my easy access to all the music and books I listen to from Amazon music and audible.  The treble, mid and bass sound well-equalized.  I love that I can easily take it to any area of my house and plug it in.  It's nice and light weight, with a good length of cord.",Positive
Very easy set up. Really enjoying it,Positive
"I will also agree that this place has great food.  However, I've been warned by regulars that the owner will often try to charge you for something extra while you aren't paying attention.  If you think your bill is a dollar or two high, it just might be.",Neutral
really disappointed! i guess i expected more from seeing it on tv..but it was dead on a friday night... came down the escalator from moon all hyped up and this brought me to a low!!,Negative
Food is good but a little pricey for the quality.,Neutral
I love how I can just push the microphone button on the remote and ask it to open any show and it'll find whether it's on Hulu or Netflix and sign me in and start the show... Pretty amazing but each new technology sure is making me lazy or lol :-),Positive
I love this so much!! Alexa is even better when she can show you things!,Positive
Great speaker with a lot of capabilities. Very fun to learn how to use it.,Positive
Miserable staff that works there. No thank yous for shopping at the store. Will never be back.,Negative
2nd one... more to come,Positive
"Overpriced, mediocre lukewarm food....place is living on past reputation with sign outside front door that says named best breakfast in 2011.  Lots of better places around!",Negative
"Chow Fun with white meat chicken is always delicious. Crab Ragoon is a nice side dish. It is fast food,  but better than panda.",Neutral
If your going to hooters for food awful worst service however if your going for hooters,Negative
They don't order parts when you order them I waited four weeks to find out they didn't place the order. Wasted gas to drive there to find out the price quotes had tripled. Poor service. Acted as if they don't care if you give them business one way or another.,Negative
Had a very disappointing breakfast. The french toast actually comes with toast. Really? The French toast and bacon came out cold. This is more of a coffee place is a breakfast place.,Negative
Grade: C-\n\nTriangle-shaped fish fillets served on Styrofoam plates. Good greasy Hushpuppies and cold beer. Good service and prices.,Neutral
